"SubscriptionName","PrincipalName","PrincipalType","RoleName","Scope","ScopeType"
"Pay-As-You-Go","18bcabf1-ae16-4ef4-8a5e-804937e3b797 dad22b13-9aad-4202-a784-f876b7458333","User","Landing Zone Account Owner","/subscriptions/f623a36c-87b5-48e4-a3d4-1c6dc182eb43","Subscription"
"Pay-As-You-Go","sp-devops-demo","ServicePrincipal","Contributor","/subscriptions/f623a36c-87b5-48e4-a3d4-1c6dc182eb43","Subscription"
"Pay-As-You-Go","18bcabf1-ae16-4ef4-8a5e-804937e3b797 dad22b13-9aad-4202-a784-f876b7458333","User","Security Admin","/providers/Microsoft.Management/managementGroups/1b6563c4-5df6-49a6-bc03-45c6a6ca6c2b","Resource"
"Pay-As-You-Go","sp-TestApp-devops","ServicePrincipal","Contributor","/subscriptions/4cd50aed-be0e-4844-9dd8-ebf32be613a8","Subscription"
"Pay-As-You-Go","18bcabf1-ae16-4ef4-8a5e-804937e3b797 dad22b13-9aad-4202-a784-f876b7458333","User","Security Admin","/providers/Microsoft.Management/managementGroups/1b6563c4-5df6-49a6-bc03-45c6a6ca6c2b","Resource"
"Pay-As-You-Go",,"Unknown","Contributor","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go","srizvi007-FirstProject-4f29d094-1079-44c9-acb0-4d73a7a2dd34","ServicePrincipal","Contributor","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go",,"Unknown","Contributor","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go",,"Unknown","Contributor","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go",,"Unknown","Contributor","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go",,"Unknown","Contributor","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go","18bcabf1-ae16-4ef4-8a5e-804937e3b797 dad22b13-9aad-4202-a784-f876b7458333","User","Network Contributor","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go","18bcabf1-ae16-4ef4-8a5e-804937e3b797 dad22b13-9aad-4202-a784-f876b7458333","User","Contributor","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go","sp-aks-bgp-syed-rizvi","ServicePrincipal","Contributor","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go","Microsoft Defender for Cloud Servers Scanner Resource Provider","ServicePrincipal","VM Scanner Operator","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go","Containers/securityOperators/DefenderForContainersSecurityOperator","ServicePrincipal","Defender Kubernetes API Access","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go","Containers/securityOperators/DefenderForContainersSecurityOperator","ServicePrincipal","Kubernetes Agent Subscription Level Operator","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go","Containers/securityOperators/DefenderForContainersSecurityOperator","ServicePrincipal","Kubernetes Agent Operator","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go","Containers/securityOperators/DefenderForContainersSecurityOperator","ServicePrincipal","Managed Identity Federated Identity Credential Contributor","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go",,"Unknown","Owner","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go",,"Unknown","Contributor","/subscriptions/4f29d094-1079-44c9-acb0-4d73a7a2dd34","Subscription"
"Pay-As-You-Go","18bcabf1-ae16-4ef4-8a5e-804937e3b797 dad22b13-9aad-4202-a784-f876b7458333","User","Security Admin","/providers/Microsoft.Management/managementGroups/1b6563c4-5df6-49a6-bc03-45c6a6ca6c2b","Resource"
