"SubscriptionName","SubscriptionId","ResourceName","ResourceType","ResourceGroup","Location","Tags","SKU","Size","Status","PrivateIP","PublicIP"
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","nsg-pyexhealth-avd","Microsoft.Network/networkSecurityGroups","rg-pyexhealth-avd-network-5437","eastus","NO TAGS","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","vnet-pyexhealth-avd","Microsoft.Network/virtualNetworks","rg-pyexhealth-avd-network-5437","eastus","NO TAGS","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","NetworkWatcher_eastus","Microsoft.Network/networkWatchers","NetworkWatcherRG","eastus","NO TAGS","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-nsg-avd-prod-eus","Microsoft.Network/networkSecurityGroups","pyex-rg-avd-network-prod-eus-1191","eastus","Company=pyex; Environment=prod; VMSize=Standard_D4s_v4; CostCenter=VDI","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-vnet-avd-prod-eus","Microsoft.Network/virtualNetworks","pyex-rg-avd-network-prod-eus-1191","eastus","Company=pyex; Environment=prod; VMSize=Standard_D4s_v4; CostCenter=VDI","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyexavdprod1191","Microsoft.Storage/storageAccounts","pyex-rg-avd-storage-prod-eus-1191","eastus","Company=pyex; Environment=prod; VMSize=Standard_D4s_v4; CostCenter=VDI","Standard_LRS","","HTTPS Only","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-kv-avd-prod-1191","Microsoft.KeyVault/vaults","pyex-rg-avd-core-prod-eus-1191","eastus","Company=pyex; Environment=prod; VMSize=Standard_D4s_v4; CostCenter=VDI","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-hp-avd-prod-eus","Microsoft.DesktopVirtualization/hostpools","pyex-rg-avd-core-prod-eus-1191","eastus","Company=pyex; Environment=prod; VMSize=Standard_D4s_v4; CostCenter=VDI","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-ws-avd-prod-eus","Microsoft.DesktopVirtualization/workspaces","pyex-rg-avd-core-prod-eus-1191","eastus","","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-ag-avd-desktop-prod","Microsoft.DesktopVirtualization/applicationgroups","pyex-rg-avd-core-prod-eus-1191","eastus","Company=pyex; Environment=prod; VMSize=Standard_D4s_v4; CostCenter=VDI","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-vm-01-nic","Microsoft.Network/networkInterfaces","pyex-rg-avd-hosts-prod-eus-1191","eastus","Company=pyex; Environment=prod; VMSize=Standard_D4s_v4; CostCenter=VDI","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-vm-01","Microsoft.Compute/virtualMachines","pyex-rg-avd-hosts-prod-eus-1191","eastus","Company=pyex; Environment=prod; VMSize=Standard_D4s_v4; CostCenter=VDI","",,"VM running","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-vm-01_OsDisk_1_c9ddf2e040e748968c4b2b528dd783de","Microsoft.Compute/disks","PYEX-RG-AVD-HOSTS-PROD-EUS-1191","eastus","Company=pyex; Environment=prod; VMSize=Standard_D4s_v4; CostCenter=VDI","Standard_LRS","128GB","Attached","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-vm-01/BGInfo","Microsoft.Compute/virtualMachines/extensions","pyex-rg-avd-hosts-prod-eus-1191","eastus","NO TAGS","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-vm-02-nic","Microsoft.Network/networkInterfaces","pyex-rg-avd-hosts-prod-eus-1191","eastus","Company=pyex; Environment=prod; VMSize=Standard_D4s_v4; CostCenter=VDI","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-vm-02","Microsoft.Compute/virtualMachines","pyex-rg-avd-hosts-prod-eus-1191","eastus","Company=pyex; Environment=prod; VMSize=Standard_D4s_v4; CostCenter=VDI","",,"VM running","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-vm-02_OsDisk_1_67a522b078984c2cbb66f3e06bce7e63","Microsoft.Compute/disks","PYEX-RG-AVD-HOSTS-PROD-EUS-1191","eastus","Company=pyex; Environment=prod; VMSize=Standard_D4s_v4; CostCenter=VDI","Standard_LRS","128GB","Attached","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-vm-02/BGInfo","Microsoft.Compute/virtualMachines/extensions","pyex-rg-avd-hosts-prod-eus-1191","eastus","NO TAGS","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-vm-02/MDE.Windows","Microsoft.Compute/virtualMachines/extensions","PYEX-RG-AVD-HOSTS-PROD-EUS-1191","eastus","NO TAGS","","","","",""
"Pay-As-You-Go","4f29d094-1079-44c9-acb0-4d73a7a2dd34","pyex-vm-01/MDE.Windows","Microsoft.Compute/virtualMachines/extensions","PYEX-RG-AVD-HOSTS-PROD-EUS-1191","eastus","NO TAGS","","","","",""
